Break1_chr	Break1_loc	Break_direction	Break2_chr	Break2_loc	MapQ	Read_ID	Classification
NC_000068.8	158607361	>>	NC_000070.7	132262879	51	ERR2680377.43	Chimeric
NC_000071.7	124631877	><	NC_000071.7	145124044	60	ERR2680377.85	Chimeric
NC_000082.7	16139508	<>	NC_000084.7	47245534	14	ERR2680377.431	Chimeric
NC_000073.7	92451008	<<	NC_000073.7	92451796	60	ERR2680377.465	Pass
NC_000073.7	92451008	<<	NC_000073.7	92451815	60	ERR2680377.465	Pass
NC_000069.7	156442193	>>	NC_000072.7	29911724	60	ERR2680377.939	Chimeric
NC_000077.7	98655100	<>	NC_000077.7	98659236	60	ERR2680377.982	Pass
NC_000082.7	17194487	>>	NC_000082.7	17151467	60	ERR2680377.1371	Pass
NC_000072.7	124788002	<>	NC_000072.7	124789632	60	ERR2680377.1468	Pass
NC_000083.7	6130128	<<	NC_000078.7	53169036	60	ERR2680377.1563	Chimeric
NC_000074.7	126722436	><	NC_000074.7	126722362	60	ERR2680377.1585	Foldback
NC_000077.7	115405204	>>	NC_000075.7	99267475	60	ERR2680377.1835	Chimeric
NC_000068.8	156408889	<>	NC_000068.8	156409703	60	ERR2680377.1896	Pass
NC_000081.7	41524974	>>	NC_000081.7	41523313	60	ERR2680377.2311	Pass
NC_000075.7	110540283	<>	NC_000075.7	110521404	44	ERR2680377.2349	Pass
NC_000073.7	116016031	>>	NC_000073.7	116015341	60	ERR2680377.2586	Pass
NC_000068.8	112462256	><	NC_000068.8	112467003	60	ERR2680377.2768	Pass
NC_000078.7	109510481	<<	NC_000078.7	109526466	60	ERR2680377.3029	Pass
NC_000083.7	25116841	><	NC_000083.7	25116768	60	ERR2680377.3041	Foldback
NC_000067.7	155151867	><	NC_000068.8	141880352	60	ERR2680377.3270	Chimeric
NC_000074.7	11547591	<>	NC_000074.7	11563054	48	ERR2680377.3356	Pass
NC_000083.7	45853632	<>	NC_000083.7	45853941	60	ERR2680377.3373	Pass
NC_000082.7	72515244	<>	NC_000082.7	72517552	60	ERR2680377.3530	Pass
NC_000067.7	59260149	<<	NC_000067.7	59261652	60	ERR2680377.3738	Pass
NC_000071.7	136940614	<>	NC_000072.7	51567749	60	ERR2680377.3895	Chimeric
NC_000067.7	172034278	>>	NC_000085.7	7192528	53	ERR2680377.4011	Chimeric
NC_000068.8	112075868	>>	NC_000068.8	112075426	60	ERR2680377.4073	Pass
NC_000070.7	69844360	><	NC_000071.7	134649007	48	ERR2680377.4208	Chimeric
NC_000082.7	10985398	<<	NC_000082.7	10987235	60	ERR2680377.4304	Pass
NC_000083.7	56393087	><	NC_000083.7	56393087	60	ERR2680377.4358	Foldback
NC_000078.7	69361262	<<	NC_000078.7	69362819	60	ERR2680377.4534	Pass
NC_000077.7	119168335	<>	NC_000077.7	119168554	60	ERR2680377.4684	Pass
NC_000073.7	120539647	<>	NC_000073.7	120517028	60	ERR2680377.4761	Pass
NC_000071.7	104237536	><	NC_000071.7	104234979	60	ERR2680377.4794	Pass
NC_000081.7	80002584	><	NC_000081.7	80127740	60	ERR2680377.4947	Pass
NC_000068.8	148717345	><	NC_000068.8	148717347	14	ERR2680377.5209	Foldback
NC_000078.7	87319899	<>	NC_000078.7	87320444	60	ERR2680377.5262	Pass
NC_005089.1	70	<>	NC_005089.1	13929	60	ERR2680377.5308	Pass
NC_000070.7	40279370	><	NC_000075.7	27009191	60	ERR2680377.5427	Chimeric
NC_000083.7	45853402	<>	NC_000083.7	45853917	60	ERR2680377.5569	Pass
NC_000079.7	55469851	<>	NC_000078.7	100165787	60	ERR2680377.5604	Chimeric
NC_000082.7	84843266	>>	NC_000082.7	84842271	60	ERR2680377.5608	Pass
NC_000080.7	20657970	>>	NC_000080.7	20657149	60	ERR2680377.5700	Pass
NC_000080.7	34056079	<>	NC_000080.7	34030995	60	ERR2680377.6008	Pass
NC_000071.7	147382788	<<	NC_000081.7	103180965	53	ERR2680377.6050	Chimeric
NC_000083.7	71068069	<<	NC_000083.7	71094204	60	ERR2680377.6288	Pass
NC_000071.7	37314724	<>	NC_000071.7	37314834	60	ERR2680377.6636	Foldback
NC_000071.7	69403303	<>	NC_000068.8	118527768	60	ERR2680377.6648	Chimeric
NC_000076.7	59968898	<>	NC_000077.7	117471873	60	ERR2680377.6705	Chimeric
NC_000068.8	55368243	><	NC_000068.8	55367397	60	ERR2680377.6876	Pass
NC_000078.7	100174869	><	NC_000078.7	100174769	60	ERR2680377.6997	Foldback
NC_000086.8	135115334	><	NC_000067.7	6820237	60	ERR2680377.7002	Chimeric
NC_000068.8	155834540	<>	NC_000068.8	155834652	60	ERR2680377.7104	Foldback
NC_000068.8	170721391	<<	NC_000068.8	158452087	38	ERR2680377.7257	Chimeric
NC_000085.7	30016471	<>	NC_000085.7	30048642	60	ERR2680377.7342	Pass
NC_000074.7	17584912	<<	NC_000074.7	17266837	60	ERR2680377.7366	Pass
